,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
lifetime',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
rever,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,
lesson,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
warm,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
equal,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
laiter,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
steamer,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
improp,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,,
reckless,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
hotel,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,
somewher,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,
huge,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
postag,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
spent,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,
eight,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,
sister,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,,,
sin,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,
free,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,
photograph,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,
algeria,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
decid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,
gold,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,
maid,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
train,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,,,,,,,,,,,,,,,,,,
written,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,
church,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,
proport,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,
histori,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,,
unfair,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
subadar,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
port,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
tenderli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
extravag,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
salari,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,
hardli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,
neat,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
vice,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,,,
often,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,
triumphantli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
wrote,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,
phil,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
phil',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
alik,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
luxuri,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
shiftless,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
fall,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,
friends',/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
decis,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,
assist,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,
garron,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
twice,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,
selfish,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,
curiou,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,,,,,,,,,,,,,,,,,,,,
succeed,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
bill,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The rescue of the pluffles.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,
ill,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,
sketch,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,
popular,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,
loo,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,,,,,,,,,,,,,,,,,,,
spite,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,
direct,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/pig.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,
town,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/on the strength of a likeness.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,
dunmaya,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
ultim,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
shock,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,
constant,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
tiger,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
rajput,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,,,,,,,,,,,,,,,,,,,,,,
epistl,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
p,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,
neatli,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,,,,,,,,,,,,,,,,,,,,,,,
leisur,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Wressley of the foreign office.txt,,,,,,,,,,,,,,,,,,,,,,
complaint,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Consequences.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/yoked with an unbeliever.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,,
steal,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,,,,,,,,,,,,,,,,,,,,,,
insur,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
grubbi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,,,,,,,,,,,,,,,,,,,,,,
safe,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,,,,,,,,,,,,,,,,,,,,,,
trustworthi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
taller,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
thibet,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
shill,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,,,,,,,,,,,,,,,,,,,,,,
fume,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
evil,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Rout of hossars.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/False Dawn.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/To be held for reference.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Watches of the night.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Thrown Away.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,
latter,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,
tiffin,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,,,,
prospect,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/His chance in life.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Cupids arrow.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The other Man.txt,,,,,,,,,,,,,,,,,,,,
lore,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
fade,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Lispeth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/In the pride of his youth.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,,
miracul,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
justifi,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
rickshaw,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
northward,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,,,,,,,,,,,,,,,,,,,,,,,
bottom,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/The gate of a hundred sorrows.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Bisara of pooree.txt,/Users/rohan/Desktop/6th sem/Information Retrieval/other/Docs/Three And—An Extra.txt,,,,,,,,,,,,,,,,,,,,,
